# File_num, Time_point, I0, I0_err
4.000000000000000000e+00, 8.624999999999985789e+01, 1.590000000000000024e-01, 2.799999999999999972e-03
1.100000000000000000e+01, 1.587500000000000853e+02, 1.610000000000000042e-01, 3.799999999999999992e-03
1.600000000000000000e+01, 2.232146139706001122e+02, 1.630000000000000060e-01, 2.599999999999999881e-03
2.100000000000000000e+01, 3.353010110294198398e+02, 1.559999999999999998e-01, 2.399999999999999790e-03
2.700000000000000000e+01, 4.951815257353001698e+02, 1.509999999999999953e-01, 2.099999999999999870e-03
3.200000000000000000e+01, 6.886557904412002244e+02, 1.549999999999999989e-01, 2.200000000000000133e-03
3.700000000000000000e+01, 9.257881433824002215e+02, 1.499999999999999944e-01, 1.799999999999999951e-03
4.200000000000000000e+01, 1.206578584558800003e+03, 1.509999999999999953e-01, 1.799999999999999951e-03
4.700000000000000000e+01, 1.531027113970600112e+03, 1.529999999999999971e-01, 2.299999999999999961e-03
5.200000000000000000e+01, 1.899133731617700050e+03, 1.469999999999999918e-01, 1.600000000000000077e-03
5.700000000000000000e+01, 2.310898437500000000e+03, 1.499999999999999944e-01, 1.699999999999999905e-03
6.200000000000000000e+01, 2.766321231617700050e+03, 1.519999999999999962e-01, 1.600000000000000077e-03
6.700000000000000000e+01, 3.265402113970600112e+03, 1.509999999999999953e-01, 1.699999999999999905e-03
7.200000000000000000e+01, 3.751902573529400797e+03, 1.469999999999999918e-01, 1.500000000000000031e-03
