# File_num, Time_point, Rg, Rg_err
4.000000000000000000e+00, 8.624999999999985789e+01, 2.419999999999999929e+01, 1.800000000000000044e+00
1.100000000000000000e+01, 1.587500000000000853e+02, 2.439999999999999858e+01, 2.700000000000000178e+00
1.600000000000000000e+01, 2.232146139706001122e+02, 2.330000000000000071e+01, 2.000000000000000000e+00
2.100000000000000000e+01, 3.353010110294198398e+02, 2.100000000000000000e+01, 1.600000000000000089e+00
2.700000000000000000e+01, 4.951815257353001698e+02, 2.000000000000000000e+01, 1.399999999999999911e+00
3.200000000000000000e+01, 6.886557904412002244e+02, 2.000000000000000000e+01, 1.300000000000000044e+00
3.700000000000000000e+01, 9.257881433824002215e+02, 1.850000000000000000e+01, 1.300000000000000044e+00
4.200000000000000000e+01, 1.206578584558800003e+03, 1.839999999999999858e+01, 9.000000000000000222e-01
4.700000000000000000e+01, 1.531027113970600112e+03, 1.810000000000000142e+01, 1.399999999999999911e+00
5.200000000000000000e+01, 1.899133731617700050e+03, 1.719999999999999929e+01, 1.100000000000000089e+00
5.700000000000000000e+01, 2.310898437500000000e+03, 1.710000000000000142e+01, 1.199999999999999956e+00
6.200000000000000000e+01, 2.766321231617700050e+03, 1.750000000000000000e+01, 1.100000000000000089e+00
6.700000000000000000e+01, 3.265402113970600112e+03, 1.710000000000000142e+01, 2.000000000000000000e+00
7.200000000000000000e+01, 3.751902573529400797e+03, 1.650000000000000000e+01, 9.399999999999999467e-01
